'	637|641|645|649|652|653|656|657|673|676|677|678|679
185808200	639
1859	639|641|650|674
1859-05-22	674
186	644|650|671
1860	641|650|658
1861	641
1862	635|641|650
1863	641|671|677
1864	674
18641632	636
1865	676
18664583	636
1867	674|676
1868	641|650
1868-1870	674
1869	650
18692378	664
187	638|644|650|676
1870	641|650|657
1870s	650
1871	641
1872	676|680
1873	676
1874	641|650|663
1875	641|645|650|674
187521	636
1876	641|674
1877	641|676
1878	658
1879	641|658|659|674
188	641|650|677|680
1880	641|643|645|650|671|674
1880900	669
1880s	671
1881	641|674
1882	657|674
1884	641|650|671|674|677
1885	674
1886	669|670|674
1887	663|670|674|676
1888	650|669|670|674
1889	670|674
189	636|650|657|677|680
1890	650|669|670|674
1891	643|658|670|674
1892	650|670|674
1893	669|670|674
1894	670|674
18948954	636
1895	650|670|674
1896	667|670|674
1897	641|643|669|670|671|674
1898	667|670|674
1899	636|670|674
18th	639|645|649|650|657|669|671
19	634|635|636|637|638|639|641|643|644|646|649|650|651|652|656|657|663|664|668|669|670|671|673|674|676|677|680|681|682
19-29	637
19-31	636
19-33	641
190	636|650|677
190-25	677
1900	642|650|670|674
1900S	674
1900s	645|650
1901	670|674
1902	643|670|671|674
1902-8822	671
1903	644|670|674
19037244	636
1904	650|658|670|674
1905	670|674
1906	643|670|674
1907	645|670|674
1908	670|674
1908-1952	657
1909	638|669|670|674|682
190b	653
191	650|677
191-3	637
1910	638|670|674
1911	636|643|670|676
191121	657
1912	637|644|650|670|674
1912-1915	665
1913	669|670|674
1914	636|650|670|674
1915	636|657|670|674
1916	650|670|674
1917	641|650|670|671|674|676
1918	650|670|674|676
19186936-7484	655
1919	642|645|670|674
192	650|664
1920	650|663|670
1920s	643|650|665|674
1921	670|674
1922	657|670|674|682
1923	657|670
1924	639|650|663|670|671|674|676
1925	645|657|658|670|674
1926	641|657|670|674
1927	637|650|663|667|670|674
1928	644|646|650|657|658|667|670|674
1929	650|670|674
19298373	636
193	636|650|677
1930	644|650|669|670|674
1930-07-07	674
1930s	637|638|641|649|650|670
1931	657|670|677
1932	650|658|670
1933	636|641|670|680|682
1933B	636
1934	638|649|670|673
1935	636|641|660|670|676|677
1935-12-07	660
1936	638|650|670|676|677
1937	639|650|670|671|677
1938	643|665|670
1939	642|650|670
194	650|677
1940	649|655|670|673|674|680
1940s	649|650|655|677
1941	652|670|673|674|676
1942	649|670|680
1942-03-25	649
1943	650|670|676
1944	670|680
1945	650|670|676|680
19453223	663
1946	649|650|670
1947	644|650|670|680
1948	639|650|652|657|658|670|682
1949	635|639|650|670
195	650|657
1950	646|647|650|652|660|665|670|673|676|677
1950-	660
1950s	635|649|650|655|670|677|679|680
1951	641|650|652|657|670|673
1951-2010	680
1952	645|658|670
19528	670
1953	639|642|647|650|652|657|670
1954	641|650|669|670|680
1955	650|655|670|674|677
1955782	636
1956	641|649|650|655|656|658|670|677
1956-08-21	650
1957	646|647|649|650|651|655|657|660|670|677
1958	641|650|651|655|670
1958-06-25	651
1959	641|649|655|660|670|673|676
196	637|650|677
1960	641|644|649|650|652|655|669|670|671|673|674|677|682
1960s	635|637|638|639|643|645|649|650|655|658|665|670|671|673|677
1961	639|641|649|650|652|655|670|673|677|682
1962	639|649|650|651|655|657|670|680|682
1963	643|649|650|651|655|664|669|670|677|682
1964	649|651|655|657|667|670|676
1964-1984	643
1965	636|647|649|650|655|657|658|660|667|670|677|682
1965c	657
1966	637|639|647|649|650|651|655|658|667|669|670|677|680
1967	637|639|649|650|655|660|670|677
1968	639|649|655|657|660|670|671|682
19680628	649
1969	637|639|649|650|655|657|660|669|670|671|676|677|682
197	636|638|644|646|650|677
1970	637|641|649|650|655|660|669|670|671|673|674|677
1970's	649
1970s	637|638|641|645|649|650|655|658|663|670|671|673|677
1971	637|639|643|649|655|657|659|669|670|673
1971's	649
19719632	636
1971a	639
1971b	639
1972	639|641|643|649|652|655|657|669|670|674|677|680
1972's	649
1973	637|639|643|649|655|657|663|664|670|677
1974	639|641|646|649|650|655|657|670|674|676|677
1974's	649
1975	649|650|655|657|661|665|670|677|680
1976	637|641|649|650|655|660|663|664|669|670|674|677|679|680
1977	636|637|639|641|649|650|655|660|670|676|680
1977PNAS	636
1978	637|649|650|652|655|657|660|663|664|669|670|671|679|680
1978-a-sign-is-reborn	652
1979	637|641|649|650|652|655|657|660|663|664|667|669|670|671|677
1979-01-01	650
1979Sci	641
198	650
1980	636|637|638|639|644|645|649|650|651|652|655|657|663|669|670|671|673|676|677
1980-1994	649
1980-1998	649
1980Cent	637
1980Natur	636
1980s	638|639|644|645|649|650|655|670|671|673|677|679
1981	636|637|644|645|649|650|652|655|656|657|659|660|661|663|664|669|670|671|673|680
1981-2010	680
19816582	641
1981Natur	636
1982	636|637|638|639|643|646|649|655|660|663|664|669|670|671|673|676|677|682
1982Sci	636
1983	637|638|639|641|643|646|649|650|655|656|664|665|666|670|671|673|677|679|680
1983's	649
1984	638|639|641|649|650|652|655|656|657|658|670|673|677
1985	637|638|639|641|645|646|649|650|655|656|660|663|664|665|669|670|673|677|680|682
1986	636|637|639|641|649|650|655|656|663|664|670|673|676|677|679|680
1986-07-18	649
1986S	637
1986Sci	641
1986_01	656
1987	637|639|641|643|649|653|655|656|657|660|663|664|670|673|674|676|677
1988	636|637|638|639|641|646|649|650|655|656|657|660|664|670|671|673|674|676|677|682
1988Natur	636
1989	636|637|639|645|646|649|650|655|656|657|664|666|667|670|671|673|677
19898490	663
1989Natur	636
1989a	637
1989b	637
199	638|650|652|677
199-216	640
1990	636|638|639|640|641|643|646|649|650|651|655|656|657|663|664|666|667|670|673|675|677|680
1990PNAS	636
1990s	637|649|650|655|663|670|671|673|677
1991	636|637|639|641|643|644|649|650|655|656|657|661|663|669|670|671|673|675|676|677|678|679|680|681|682
1991b	657
1992	637|639|640|641|647|649|650|651|655|656|657|660|663|669|670|671|674|676|677|679
1992Articles	663
1993	636|637|639|641|649|650|655|656|660|663|669|670|671|676|677|679|681
1993-2005	644
1993Sci	641|681
1994	636|637|639|641|647|649|650|655|656|657|663|664|666|667|669|670|671|672|673|674|676|677|679|682
